end_time,ID,RN,količina,oprema,Aktivnost,radnikID
11/20/21 20:10:52,42509406,1903425,0,ZSK43,čišćenje radnog mesta,5
11/20/21 20:23:01,42509406,1903425,0,ZSK43,čišćenje opreme,5
11/20/21 20:34:19,42509406,1903425,0,ZSK43,ekstrudiranje,5
11/20/21 21:04:50,42509406,1903425,0,ZSK43,kontrola,5
11/20/21 21:44:54,42509406,1903425,260,ZSK43,ekstrudiranje,5
11/20/21 23:29:09,42509406,1903425,260,ZSK43,čišćenje radnog mesta,5
11/20/21 23:52:18,42509406,1903425,260,ZSK43,čišćenje radnog mesta,5
11/21/21 08:38:57,42509406,1903425,260,ZSK43,čišćenje radnog mesta,5
11/21/21 08:46:38,42509406,1903425,260,ZSK43,čišćenje radnog mesta,5
11/21/21 09:03:00,42509406,1903425,260,ZSK43,čišćenje radnog mesta,5
11/21/21 09:07:10,42509406,1903425,260,ZSK43,čišćenje radnog mesta,5
11/21/21 09:12:03,42509406,1903425,260,ZSK43,čišćenje radnog mesta,5
11/21/21 09:18:09,42509406,1903425,260,ZSK43,čišćenje radnog mesta,5
11/21/21 09:19:30,42509406,1903425,260,ZSK43,čišćenje radnog mesta,5
11/21/21 09:46:19,42100406,1234567,260,ZSK43,110,0
11/21/21 09:51:12,42204406,1234569,0,APV,124,4
11/21/21 10:19:38,42450906,1235468,0,ACM30,225,15
11/21/21 10:23:27,42500006,1325644,0,ZSK43,113,5
11/21/21 10:30:00,42100406,1236689,0,ZSK43,čišćenje,13
11/21/21 10:34:02,42112906,1955634,600,ACM30,mlevenje,2
