end_time,ID,RN,količina,oprema,Aktivnost,radnikID
11/21/21 10:43:16,42100406,1234567,0,ZSK43,čišćenje,3
11/21/21 10:45:09,42100406,1234567,260,ZSK43,ekstrudiranje,3
11/21/21 10:47:00,42112906,1234567,260,ZSK43,ekstrudiranje,3
11/21/21 10:48:15,42100406,1234567,260,ZSK43,ekstrudiranje,3
11/21/21 10:59:22,42450906,1235285,0,ZSK43,nema konejnera za čips,3
11/21/21 11:26:56,42100406,1234567,260,ZSK43,ekstrudiranje,4
11/21/21 13:22:08,42041706,185214,260,ZSK43,ekstrudiranje,25
11/21/21 13:51:27,42509406,1234567,260,ZSK43,ekstrudiranje,15
11/21/21 15:24:33,42472006,1532244,0,ZSK43,zagrevanje,6
11/21/21 15:25:03,42450906,1235744,0,ZSK43,nema operatera,9
11/22/21 17:55:12,42100406,1552441,0,ZSK43,čišćenje radnog mesta,6
11/24/21 20:21:33,42100406,1902585,260,ZSK43,ekstrudiranje,3
11/27/21 21:18:31,42211406,1574406,0,ZSK43,čišćenje radnog mesta,5
11/27/21 21:19:21,42104006,1254001,250,ZSK43,ekstrudiranje,4
11/27/21 21:33:28,42100406,1234567,0,ZSK43,čišćenje radnog mesta,6
11/28/21 20:48:04,42100406,1234567,260,ZSK43,Ekstrudiranje,4
11/28/21 20:55:05,42100406,1234567,520,ZSK43,Ekstrudiranje,15
11/28/21 21:08:26,42100406,1236658,0,ZSK43,Čišćenje,5
11/28/21 21:21:10,42100406,1234567,260,ZSK43,Ekstrudiranje,0
11/28/21 21:25:25,42100406,1236542,260,ZSK43,Ekstrudiranje,13
11/28/21 21:28:13,42100406,1234567,520,ZSK43,Ekstrudiranje,4
11/28/21 21:28:55,42100406,1236654,0,ZSK43,Čišćenje,5
11/29/21 14:52:59,42100406,1234567,260,ZSK43,Ekstrudiranje,4
11/29/21 14:53:23,42100406,1234567,0,ZSK43,Čišćenje,4
11/29/21 16:00:44,42100406,1236547,0,ZSK43,Čišćenje,5
11/29/21 16:01:19,42100406,1234567,0,ZSK43,Nema Premiksa,5
11/29/21 16:46:35,12100406,1234567,0,ZSK43,Čišćenje,5
